N1,N2,N3,ini_d1,ini_d2,ini_d3,sl_str,aud_str,strat1,strat2,fin_d1,fin_d2,fin_d3,fin_b1,fin_b2,fin_b3
1,5,4,4,4,4,0.5,0.25,5,5,4.90625,4.03125,3.765625,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,4.40625,5.0625,1.578125,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,5,4.8125,4.25,4.109375,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,3.40625,5.8125,4.265625,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,5.0,5.4375,3.984375,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,5,5.5,5.6875,4.96875,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,4.875,7.71875,5.53125,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,5,4.5,5.59375,3.953125,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,6,4,2.40625,5.0625,2.640625,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,5.28125,5.375,3.703125,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,4.53125,6.09375,2.515625,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,3.46875,6.5,4.328125,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,6,4,2.6875,5.59375,1.71875,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,4.84375,5.59375,3.796875,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,5.34375,5.59375,5.609375,4.0,0.5,4.0
